species,family,tribe,sociality,mating_system,effective_mates,haplodiploidy,colony_size,source
Halictus quadricinctus,Halictidae,Halictini,communal,monandrous,1.0,True,,Danforth 2002
Lasioglossum hemichalceum,Halictidae,Halictini,semisocial,monandrous,1.0,True,,Kukuk & Schwarz 1988
Agapostemon virescens,Halictidae,Halictini,communal,monandrous,1.0,True,,Roberts 1969
Euglossa imperialis,Apidae,Euglossini,communal,monandrous,1.0,True,,Zimmermann et al. 2009
Eulaema meriana,Apidae,Euglossini,communal,monandrous,1.0,True,,Cameron & Ramirez 2001
Eufriesea surinamensis,Apidae,Euglossini,solitary,monandrous,1.0,True,,Zimmermann et al. 2009
Exaerete frontalis,Apidae,Euglossini,solitary,monandrous,1.0,True,,Zimmermann et al. 2009
Euglossa cordata,Apidae,Euglossini,solitary,monandrous,1.0,True,,Augusto & Garofalo 2009
Euglossa annectans,Apidae,Euglossini,solitary,monandrous,1.0,True,,Augusto & Garofalo 2009
Xylocopa virginica,Apidae,Xylocopini,solitary,monandrous,1.0,True,,Peso & Richards 2010
Xylocopa pubescens,Apidae,Xylocopini,solitary,monandrous,1.0,True,,Stark 1992
Xylocopa violacea,Apidae,Xylocopini,solitary,monandrous,1.0,True,,Michener 2007
Xylocopa varipuncta,Apidae,Xylocopini,solitary,monandrous,1.0,True,,Alcock 1991
Ceratina calcarata,Apidae,Ceratinini,solitary,monandrous,1.0,True,,Rehan & Richards 2010
Ceratina flavipes,Apidae,Ceratinini,solitary,monandrous,1.0,True,,Sakagami & Maeta 1977
Megachile rotundata,Megachilidae,Megachilini,solitary,monandrous,1.0,True,,Pitts-Singer & Cane 2011
Megachile centuncularis,Megachilidae,Megachilini,solitary,monandrous,1.0,True,,Michener 2007
Osmia lignaria,Megachilidae,Osmiini,solitary,monandrous,1.0,True,,Bosch & Kemp 2002
Osmia bicornis,Megachilidae,Osmiini,solitary,monandrous,1.0,True,,Seidelmann 2006
Osmia cornifrons,Megachilidae,Osmiini,solitary,monandrous,1.0,True,,Maeta & Kitamura 1981
Anthidium manicatum,Megachilidae,Anthidiini,solitary,monandrous,1.0,True,,Severinghaus et al. 1981
Andrena fulva,Andrenidae,Andrenini,solitary,monandrous,1.0,True,,Michener 2007
Andrena flavipes,Andrenidae,Andrenini,solitary,monandrous,1.0,True,,Michener 2007
Andrena nitida,Andrenidae,Andrenini,solitary,monandrous,1.0,True,,Michener 2007
Panurgus banksianus,Andrenidae,Panurgini,solitary,monandrous,1.0,True,,Michener 2007
Calliopsis andreniformis,Andrenidae,Calliopsini,solitary,monandrous,1.0,True,,Michener 2007
Colletes inaequalis,Colletidae,Colletini,solitary,monandrous,1.0,True,,Michener 2007
Colletes succinctus,Colletidae,Colletini,solitary,monandrous,1.0,True,,Michener 2007
Hylaeus communis,Colletidae,Hylaeini,solitary,monandrous,1.0,True,,Michener 2007
Hylaeus signatus,Colletidae,Hylaeini,solitary,monandrous,1.0,True,,Michener 2007
Nomia melanderi,Halictidae,Nomiini,solitary,monandrous,1.0,True,,Wcislo 1997
Dieunomia triangulifera,Halictidae,Nomiini,solitary,monandrous,1.0,True,,Wcislo 1997
Lasioglossum zephyrum,Halictidae,Halictini,solitary,monandrous,1.0,True,,Kukuk et al. 1998
Lasioglossum figueresi,Halictidae,Halictini,solitary,monandrous,1.0,True,,Wcislo & Danforth 1997
Dasypoda hirtipes,Melittidae,Dasypodaini,solitary,monandrous,1.0,True,,Michener 2007
Melitta leporina,Melittidae,Melittini,solitary,monandrous,1.0,True,,Michener 2007
Macropis nuda,Melittidae,Macropidini,solitary,monandrous,1.0,True,,Michener 2007
Anthophora plumipes,Apidae,Anthophorini,solitary,monandrous,1.0,True,,Michener 2007
Amegilla dawsoni,Apidae,Anthophorini,solitary,monandrous,1.0,True,,Alcock 1996
Centris pallida,Apidae,Centridini,solitary,monandrous,1.0,True,,Alcock 1984
